                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0707,                0.65579,                 0.9055,                0.81877,                0.60333,                0.69087,                0.44288,                 1.1299,                0.69696,                0.94423,               0.000878,               0.000878,               0.000878
                     37,                  1.067,                0.65161,                0.90749,                0.82983,                 0.6098,                0.69426,                0.44228,                  1.126,                0.68486,                0.95044,               0.000845,               0.000845,               0.000845
                     38,                  1.072,                 0.6473,                0.90396,                0.81871,                0.59593,                0.69136,                0.44522,                 1.1177,                0.67633,                0.93777,               0.000812,               0.000812,               0.000812
                     39,                 1.0441,                 0.6372,                0.90936,                0.82771,                0.59732,                0.68726,                0.44004,                  1.144,                0.67869,                 0.9439,               0.000779,               0.000779,               0.000779
                     40,                 1.0399,                0.62621,                0.89911,                0.82961,                0.58252,                0.67696,                0.42675,                 1.1597,                0.68797,                0.94975,               0.000746,               0.000746,               0.000746
                     41,                 1.0361,                0.62295,                0.90107,                 0.8346,                0.60186,                0.69061,                0.43652,                 1.1517,                0.67214,                 0.9456,               0.000713,               0.000713,               0.000713
                     42,                 1.0298,                0.62165,                0.90179,                0.81828,                0.60996,                 0.6953,                0.44717,                  1.118,                  0.674,                0.93859,                0.00068,                0.00068,                0.00068
                     43,                 1.0202,                 0.6135,                  0.896,                 0.8296,                 0.5927,                0.69392,                0.45084,                 1.0969,                0.67676,                0.93311,               0.000647,               0.000647,               0.000647
                     44,                 1.0105,                0.60444,                0.89391,                0.83465,                0.60912,                 0.7042,                0.45532,                   1.11,                0.64995,                 0.9373,               0.000614,               0.000614,               0.000614
                     45,                 1.0177,                0.60879,                0.88854,                0.83043,                0.59963,                0.69379,                0.44908,                 1.1127,                0.66398,                0.93877,               0.000581,               0.000581,               0.000581
                     46,                0.99919,                0.59665,                0.88925,                 0.8371,                0.60583,                0.70151,                0.45789,                 1.1094,                0.65323,                0.94001,               0.000548,               0.000548,               0.000548
                     47,                 1.0002,                0.59226,                0.89151,                 0.8315,                0.60472,                0.70052,                0.45537,                 1.1095,                0.64736,                0.93792,               0.000515,               0.000515,               0.000515
                     48,                 1.0106,                0.60148,                0.89066,                0.81758,                0.61211,                0.69805,                0.45101,                 1.1213,                0.66245,                0.93973,               0.000482,               0.000482,               0.000482
                     49,                0.99683,                0.59402,                0.88562,                0.82544,                0.61627,                0.70294,                0.45843,                 1.1031,                 0.6426,                0.93899,               0.000449,               0.000449,               0.000449
                     50,                0.97858,                0.58278,                0.88488,                0.82336,                0.61997,                0.70964,                0.45767,                 1.1066,                0.64992,                0.93701,               0.000416,               0.000416,               0.000416
                     51,                0.96254,                0.57867,                0.87925,                0.84966,                0.60009,                0.69667,                 0.4482,                 1.1288,                0.65578,                0.94198,               0.000383,               0.000383,               0.000383
                     52,                0.95626,                0.57305,                 0.8839,                 0.8573,                0.59917,                0.70463,                0.45615,                 1.1127,                0.63657,                0.94036,                0.00035,                0.00035,                0.00035
                     53,                0.94614,                0.56097,                0.88285,                0.83593,                0.60774,                0.70473,                0.45862,                 1.0976,                 0.6453,                0.93786,               0.000317,               0.000317,               0.000317
                     54,                0.93859,                0.55311,                0.87926,                0.84724,                0.60102,                0.70265,                0.45375,                 1.1099,                0.64138,                0.93977,               0.000284,               0.000284,               0.000284
                     55,                0.93137,                0.54932,                0.87499,                0.86536,                0.59732,                 0.7054,                0.45715,                 1.1058,                0.63584,                0.94133,               0.000251,               0.000251,               0.000251
                     56,                 0.9233,                0.54503,                0.87179,                0.82389,                 0.6164,                0.70259,                 0.4591,                 1.1012,                0.63842,                0.94077,               0.000218,               0.000218,               0.000218
                     57,                0.91051,                0.53619,                0.87279,                0.83916,                0.60009,                0.70317,                0.45893,                 1.0992,                 0.6321,                0.93829,               0.000185,               0.000185,               0.000185
                     58,                0.90534,                 0.5333,                0.86858,                0.84143,                0.60795,                0.70574,                0.46119,                 1.0935,                0.62762,                0.93752,               0.000152,               0.000152,               0.000152
                     59,                0.89545,                0.52957,                0.86779,                0.82397,                 0.6135,                0.70607,                0.46016,                 1.0934,                0.62705,                 0.9383,               0.000119,               0.000119,               0.000119
                     60,                0.89437,                0.52547,                0.86793,                0.85052,                0.59639,                0.70504,                0.46201,                 1.0947,                 0.6276,                0.93656,                8.6e-05,                8.6e-05,                8.6e-05
